"001","002","005","011","012","013","014","015","016","017","018","022","024","025","027","101","102","103","104","111","112","113","114","115","116","201","202","203","204","205","301","302","303","304","305","311","401","402","403","404","405","412","413","Destination"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0.5,0.25,1,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"116"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.333333333333333,0.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,"201"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,1,0.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,"202"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,1,0.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,"203"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,"204"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"205"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0.4,0.571428571428571,0.285714285714286,0.666666666666667,0,0,0,0,0,0,0,"301"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0.285714285714286,0.166666666666667,0.6,0,0,0,0,0,0,0,"302"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,1,0.333333333333333,0.5,0.166666666666667,0,0,0,0,0,0,0,"303"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571428571,0.285714285714286,0.333333333333333,1,0.666666666666667,0.571428571428571,0,0,0,0,0,0,0,"304"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0.166666666666667,0.5,0.666666666666667,1,0.285714285714286,0,0,0,0,0,0,0,"305"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.6,0.166666666666667,0.571428571428571,0.285714285714286,1,0,0,0,0,0,0,0,"311"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.333333333333333,"401"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.6,0.6,0.6,0.5,"402"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1,0.75,0.75,0.75,0.6,"403"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.6,0.75,1,0.6,0.6,0.5,"404"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.6,0.75,0.6,1,1,0.8,"405"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.6,0.75,0.6,1,1,0.8,"412"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.5,0.6,0.5,0.8,0.8,1,"413"
